name,id,source,Related ID,complete,host,date,loc,Originating Lab,Submission Date,Submitting Lab
SARS-CoV-2/Tongji-05/human/2020/Wuhan,MT042777,GenBank,EPI_ISL_412038,Partial/gene level,Homo sapiens,2020-01,China,,2020-02-09,"Department of Clinical Laboratory, Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
SARS-CoV-2/Tongji-06/human/2020/Wuhan,MT042778,GenBank,EPI_ISL_412039,Partial/gene level,Homo sapiens,2020-01,China,,2020-02-09,"Department of Clinical Laboratory, Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
SARS-CoV-2/QLD05/human/2020_FSS918/AUS,MT050417,GenBank,,Partial/gene level,Homo sapiens,2020-02,Australia / Queensland,,2020-02-11,"Public Health Virology, Queensland Health Forensic and Scientific Services"
SARS-CoV-2/Yunnan-01/human/2020/CHN,MT049951,GenBank,,Complete,Homo sapiens,2020-01-17,China / Yunnan,,2020-02-09,"Yunnan Center for Disease Control Prevention, Institute for Acute Communicable Disease Prevention and Control"
SNU01,MT039890,GenBank,EPI_ISL_411929,Complete,Homo sapiens,2020-01,South Korea,,2020-02-11,"Department of Clinical Diagnostics, Macrogen"
BetaCoV/Hong Kong/VB20024950/2020,EPI_ISL_409022,GISAID,,Partial/gene level,Homo sapiens,2020-01-29,China / Hong Kong,Princess Margaret Hospital (PMH),2020-02-11,Hong Kong Department of Health
BetaCoV/Hong Kong/VM20002162/2020,EPI_ISL_409023,GISAID,,Partial/gene level,Homo sapiens,2020-01-31,China / Hong Kong,Queen Elizabeth Hospital (QEH),2020-02-11,Hong Kong Department of Health
BetaCoV/Hong Kong/VM20002302/2020,EPI_ISL_409025,GISAID,,Partial/gene level,Homo sapiens,2020-02-01,China / Hong Kong,Queen Elizabeth Hospital (QEH),2020-02-11,Hong Kong Department of Health
BetaCoV/Hong Kong/VM20002343/2020,EPI_ISL_409026,GISAID,,Partial/gene level,Homo sapiens,2020-02-03,China / Hong Kong,Queen Elizabeth Hospital (QEH),2020-02-11,Hong Kong Department of Health
BetaCoV/Hong Kong/VM20002345/2020,EPI_ISL_409027,GISAID,,Partial/gene level,Homo sapiens,2020-02-03,China / Hong Kong,United Christian Hospital,2020-02-11,Hong Kong Department of Health
BetaCoV/USA/MA1/2020,EPI_ISL_409067,GISAID,,Complete/1 degenerate base,Homo sapiens,2020-01-29,United States / Massachusetts,Massachusetts Department of Public Health,2020-02-11,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"
SARS-CoV-2/CA6/human/2020/USA,MT044258,GenBank,EPI_ISL_410044,Complete,Homo sapiens,2020-01-27,United States / California,California Department of Public Health,2020-02-11,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"
SARS-CoV-2/IL2/human/2020/USA,MT044257,GenBank,EPI_ISL_410045,Complete,Homo sapiens,2020-01-28,United States / Illinois,IL Department of Public Health Chicago Laboratory,2020-02-11,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"
BetaCoV/Sydney/2/2020,EPI_ISL_408976,GISAID,,Complete,Homo sapiens,2020-01-22,Australia / New South Wales / Sydney,Centre for Infectious Diseases and Microbiology Laboratory Services,2020-02-11,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney
BetaCoV/Sydney/3/2020,EPI_ISL_408977,GISAID,,Complete,Homo sapiens,2020-01-25,Australia / New South Wales / Sydney,"Serology, Virology and OTDS Laboratories (SAViD), NSW Health Pathology Randwick",2020-02-11,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Centre for Infectious Diseases and Microbiology Laboratory Services; Westmead Hospital; University of Sydney
BetaCoV/Wuhan/WH05/2020,EPI_ISL_408978,GISAID,,Partial/scaffold level,Homo sapiens,2020-02-07,China / Hubei / Wuhan,Wuhan Fourth Hospital,2020-02-11,Beijing Genomics Institute (BGI)
BetaCoV/Hong Kong/VB20017970/2020,EPI_ISL_408994,GISAID,,Partial/gene level,Homo sapiens,2020-01-21,China / Hong Kong,Prince of Wales Hospital (PWH),2020-02-11,Hong Kong Department of Health
BetaCoV/Hong Kong/VM20001218/2020,EPI_ISL_408995,GISAID,,Partial/gene level,Homo sapiens,2020-01-24,China / Hong Kong,Tuen Mun Hospital (TMH),2020-02-11,Hong Kong Department of Health
BetaCoV/Hong Kong/VB20019871/2020,EPI_ISL_408996,GISAID,,Partial/gene level,Homo sapiens,2020-01-24,China / Hong Kong,Prince of Wales Hospital (PWH),2020-02-11,Hong Kong Department of Health
BetaCoV/Hong Kong/VB20019923/2020,EPI_ISL_408997,GISAID,,Partial/gene level,Homo sapiens,2020-01-24,China / Hong Kong,Prince of Wales Hospital (PWH),2020-02-11,Hong Kong Department of Health
BetaCoV/Hong Kong/VM20001387/2020,EPI_ISL_408998,GISAID,,Partial/gene level,Homo sapiens,2020-01-25,China / Hong Kong,Pamela Youde Nethersole Eastern Hospital,2020-02-11,Hong Kong Department of Health
BetaCoV/Hong Kong/VM20001464/2020,EPI_ISL_408999,GISAID,,Partial/gene level,Homo sapiens,2020-01-25,China / Hong Kong,Prince of Wales Hospital (PWH),2020-02-11,Hong Kong Department of Health
BetaCoV/Hong Kong/VM20001403/2020,EPI_ISL_409000,GISAID,,Partial/gene level,Homo sapiens,2020-01-26,China / Hong Kong,Tuen Mun Hospital,2020-02-11,Hong Kong Department of Health
BetaCoV/Hong Kong/VM20001794/2020,EPI_ISL_409001,GISAID,,Partial/gene level,Homo sapiens,2020-01-29,China / Hong Kong,Queen Mary Hospital (QMH),2020-02-11,Hong Kong Department of Health
BetaCoV/Hong Kong/VM20001776/2020,EPI_ISL_409002,GISAID,,Partial/gene level,Homo sapiens,2020-01-29,China / Hong Kong,Queen Mary Hospital (QMH),2020-02-11,Hong Kong Department of Health
BetaCoV/Shandong/IVDC-SD-001/2020,EPI_ISL_408482,GISAID,,Complete,Homo sapiens,2020-01-19,China / Shandong / Qingdao,"National Institute for Viral Disease Control and Prevention, China CDC",2020-02-09,"National Institute for Viral Disease Control & Prevention, CCDC"
2019-nCoV/Japan/TY/WK-012/2020,LC522973,GenBank,EPI_ISL_408665,Complete,Homo sapiens,2020-01-29,Japan / Tokyo,"Dept. of Virology III, National Institute of Infectious Diseases",2020-02-10,"Pathogen Genomics Center, National Institute of Infectious Diseases"
2019-nCoV/Japan/TY/WK-501/2020,LC522974,GenBank,EPI_ISL_408666,Complete,Homo sapiens,2020-01-31,Japan / Tokyo,"Dept. of Virology III, National Institute of Infectious Diseases",2020-02-10,"Pathogen Genomics Center, National Institute of Infectious Diseases"
2019-nCoV/Japan/TY/WK-521/2020,LC522975,GenBank,EPI_ISL_408667,Complete,Homo sapiens,2020-01-31,Japan / Tokyo,"Dept. of Virology III, National Institute of Infectious Diseases",2020-02-10,"Pathogen Genomics Center, National Institute of Infectious Diseases"
BetaCoV/Vietnam/VR03-38142/2020,EPI_ISL_408668,GISAID,,Complete,Homo sapiens,2020-01-24,Vietnam / Thanh Hoa,National Influenza Center - National Institute of Hygiene and Epidemiology (NIHE),2020-02-10,National Influenza Center - National Institute of Hygiene and Epidemiology (NIHE)
2019-nCoV/Japan/KY/V-029/2020,LC522972,GenBank,EPI_ISL_408669,Complete,Homo sapiens,2020-01-29,Japan / Kyoto,"Dept. of Virology III, National Institute of Infectious Diseases",2020-02-10,"Pathogen Genomics Center, National Institute of Infectious Diseases"
2019-nCoV/USA-WI1/2020,MT039887,GenBank,EPI_ISL_408670,Complete,Homo sapiens,2020-01-31,United States / Wisconsin,Wisconsin Department of Health Services,2020-02-10,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"
Chongqing/YC01/2020,EPI_ISL_408478,GISAID,,Complete/2 degenerate bases,Homo sapiens,2020-01-22,China / Chongqing / Yongchuan,"Yongchuan District Center for Disease Control and Prevention, Chongqing, China",2020-02-09,"Chongqing Municipal Center for Disease Control and Prevention, Chongqing, China"
Sichuan/IVDC-SC-001/2020,EPI_ISL_408484,GISAID,,Complete,Homo sapiens,2020-01-16,China / Sichuan / Chengdu,"National Institute for Viral Disease Control and Prevention, China CDC, Beijing, China",2020-02-09,"National Institute for Viral Disease Control and Prevention, China CDC, Beijing, China"
Yunnan/IVDC-YN-003/2020,EPI_ISL_408480,GISAID,,Complete,Homo sapiens,2020-01-18,China / Yunnan / Kunming,"National Institute for Viral Disease Control and Prevention, China CDC, Beijing, China",2020-02-09,"National Institute for Viral Disease Control and Prevention, China CDC, Beijing, China"
Taiwan/NTU01/2020,MT066175,GenBank,EPI_ISL_408489,Complete/1 degenerate base,Homo sapiens,2020-02-01,China / Taiwan / Taipei,"National Institute for Viral Disease Control & Prevention, CCDC",2020-02-09,"National Institute for Viral Disease Control & Prevention, CCDC"
Wuhan/IVDC-HB-envF13-21/2020,EPI_ISL_408515,GISAID,,Complete,Environment,2020-01-02,China / Hubei / Wuhan,"Institute of Viral Disease Control and Prevention, China CDC, Beijing, China",2020-02-09,"Institute of Viral Disease Control and Prevention, China CDC, Beijing, China"
France/IDF0626/2020,EPI_ISL_408431,GISAID,,Complete,Homo sapiens,2020-01-30,France / Ile De France / Paris,"Sorbonne Universite, Inserm et Assistance Publique-Hopitaux de Paris, Paris, France",2020-02-08,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris, France"
Jiangxi/IVDC-JX-002/2020,EPI_ISL_408486,GISAID,,Complete,Homo sapiens,2020-01-12,China / Jiangxi / Pingxiang,"National Institute for Viral Disease Control and Prevention, China CDC, Beijing, China",2020-02-09,"National Institute for Viral Disease Control and Prevention, China CDC, Beijing, China"
Chongqing/ZX01/2020,EPI_ISL_408479,GISAID,,Complete/2 degenerate bases,Homo sapiens,2020-01-24,China / Chongqing / Zhongxian,"Zhongxian Center for Disease Control and Prevention, Zhongxian, Chongqing Municipality, China",2020-02-09,"Chongqing Municipal Center for Disease Control and Prevention, Chongqing, China"
Jiangsu/IVDC-JS-001/2020,EPI_ISL_408488,GISAID,,Complete/37 Ns,Homo sapiens,2020-01-20,China / Jiangsu / Huaian,"National Institute for Viral Disease Control & Prevention, CCDC",2020-02-09,"National Institute for Viral Disease Control & Prevention, CCDC"
France/IDF0515/2020,EPI_ISL_408430,GISAID,,Complete,Homo sapiens,2020-01-30,France / Ile De France / Paris,"Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris, France",2020-02-08,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris, France"
Chongqing/IVDC-CQ-001/2020,EPI_ISL_408481,GISAID,,Complete,Homo sapiens,2020-01-19,China / Chongqing,"National Institute for Viral Disease Control and Prevention, China CDC, Beijing, China",2020-02-09,"National Institute for Viral Disease Control and Prevention, China CDC, Beijing, China"
Wuhan/IVDC-HB-envF13-20/2020,EPI_ISL_408514,GISAID,,Complete,Environment,2020-01-02,China / Hubei / Wuhan,"Institute of Viral Disease Control and Prevention, China CDC, Beijing, China",2020-02-09,"Institute of Viral Disease Control and Prevention, China CDC, Beijing, China"
2019-nCoV_PH_nCOV_20_026,LC522350,GenBank,EPI_ISL_410302,Partial/gene level,Homo sapiens,2020-01-26,Philippines,,2020-02-06,"Research Institute for Tropical Medicine, Molecular Biology Laboratory"
2019 nCoV/Italy-INMI1,EPI_ISL_408068,GISAID,,Partial/gene level,Homo sapiens,2020-01-29,Italy / Rome,Virology Laboratory National Institute for Infectious Diseases 'Lazzaro Spallanzani' IRCCS,2020-02-07,Virology Laboratory National Institute for Infectious Diseases 'Lazzaro Spallanzani' IRCCS
2019-nCoV/USA-CA3/2020,MT027062,GenBank,EPI_ISL_408008,Complete,Homo sapiens,2020-01-29,United States / California,California Department of Health,2020-02-06,"Division of Viral Diseases, Centers for Disease Control and Prevention"
2019-nCoV/USA-CA4/2020,MT027063,GenBank,EPI_ISL_408009,Complete,Homo sapiens,2020-01-29,United States / California,California Department of Health,2020-02-06,"Division of Viral Diseases, Centers for Disease Control and Prevention"
2019-nCoV/USA-CA5/2020,MT027064,GenBank,EPI_ISL_408010,Complete,Homo sapiens,2020-01-29,United States / California,California Department of Health,2020-02-06,"Division of Viral Diseases, Centers for Disease Control and Prevention"
BetaCoV/Australia/QLD01/2020,EPI_ISL_407894,GISAID,,Complete/7 degenerate bases/high SNV density,Homo sapiens,2020-01-28,Australia / Queensland / Gold Coast,Pathology Queensland,2020-02-06,Public Health Virology Laboratory
BetaCoV/Australia/QLD02/2020,EPI_ISL_407896,GISAID,,Complete/1 degenerate base,Homo sapiens,2020-01-30,Australia / Queensland / Gold Coast,Pathology Queensland,2020-02-06,Public Health Virology Laboratory
BetaCoV/Australia/NSW01/2020,EPI_ISL_407893,GISAID,,Complete,Homo sapiens,2020-01-24,Australia / New South Wales / Sydney,Centre for Infectious Diseases and Microbiology Laboratory Services,2020-02-06,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney
BetaCoV/Belgium/GHB-03021/2020,EPI_ISL_407976,GISAID,,Complete,Homo sapiens,2020-02-03,Belgium / Leuven,"KU Leuven, Clinical and Epidemiological Virology",2020-02-07,"KU Leuven, Clinical and Epidemiological Virology"
BetaCoV/Singapore/3/2020,EPI_ISL_407988,GISAID,,Complete,Homo sapiens,2020-02-01,Singapore,National Centre for Infectious Diseases,2020-02-07,"Programme in Emerging Infectious Diseases, Duke-NUS Medical School"
BetaCoV/Singapore/2/2020,EPI_ISL_407987,GISAID,,Complete,Homo sapiens,2020-01-25,Singapore,"Molecular Laboratory, Division of Pathology",2020-02-07,"Programme in Emerging Infectious Diseases, Duke-NUS Medical School"
BetaCoV/Hangzhou/HZCDC0001/2020,EPI_ISL_407313,GISAID,,Complete,Homo sapiens,2020-01-19,China / Zhejiang / Hangzhou,Hangzhou Center for Disease Control and Prevention,2020-02-05,Hangzhou Center for Disease Control and Prevention
BetaCoV/USA/WA1-F6/2020,MT020881,GenBank,EPI_ISL_407215,Complete,Homo sapiens,2020-01-25,United States / Washington,WA State Department of Health,2020-02-04,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"
BetaCoV/Korea/KCDC03/2020,EPI_ISL_407193,GISAID,,Complete,Homo sapiens,2020-01-25,South Korea / Gyeonggi-do,Korea Centers for Disease Control & Prevention (KCDC) Center for Laboratory Control of Infectious Diseases Division of Viral Diseases,2020-02-04,Korea Centers for Disease Control & Prevention (KCDC) Center for Laboratory Control of Infectious Diseases Division of Viral Diseases
BetaCoV/Japan/AI/I-004/2020,LC521925,GenBank,EPI_ISL_407084,Complete,Homo sapiens,2020-01-25,Japan / Aichi,"Department of Virology III, National Institute of Infectious Diseases",2020-02-04,"Pathogen Genomics Center, National Institute of Infectious Diseases"
BetaCoV/USA/WA1-A12/2020,MT020880,GenBank,EPI_ISL_407214,Complete,Homo sapiens,2020-01-25,United States / Washington,WA State Department of Health,2020-02-04,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"
BetaCoV/Singapore/1/2020,EPI_ISL_406973,GISAID,,Complete,Homo sapiens,2020-01-23,Singapore,Singapore General Hospital,2020-02-03,National Public Health Laboratory
BetaCoV/England/02/2020,EPI_ISL_407073,GISAID,,Complete,Homo sapiens,2020-01-29,United Kingdom,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",2020-02-03,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"
BetaCoV/England/01/2020,EPI_ISL_407071,GISAID,,Complete/1 degenerate base,Homo sapiens,2020-01-29,United Kingdom,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",2020-02-03,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"
BetaCoV/Finland/1/2020,MT020781,GenBank,EPI_ISL_407079,Partial/scaffold level,Homo sapiens,2020-01-29,Finland / Lapland,Lapland Central Hospital,2020-02-03,"Department of Virology, University of Helsinki and Helsinki University Hospital, Helsinki, Finland"
20cov-1L,GWHABKS00000000,Genome Warehouse,"EPI_ISL_406970, MT039873",Complete,Homo sapiens,2020-01-20,China / Zhejiang / Hangzhou,Hangzhou Center for Disease and Control Microbiology Lab,2020-02-03,"Microbiology Detection, Hangzhou center for disease control and prevention"
2019 nCoV/Italy-INMI1,MT008022,GenBank,EPI_ISL_406959,Partial/gene level,Homo sapiens,2020-01,Italy / Rome,,2020-02-01,"Virology Laboratory, INMI L. Spallanzani"
2019 nCoV/Italy-INMI2,MT008023,GenBank,EPI_ISL_406960,Partial/gene level,Homo sapiens,2020-01,Italy / Rome,,2020-02-01,"Virology Laboratory, INMI L. Spallanzani"
BetaCoV/Wuhan/WH19002/2019,NMDC60013002-05,NMDC,,Complete/34 Ns/113 degenerate bases,Homo sapiens,2019-12-30,China / Hubei Province / Wuhan City,,2020-01-28,"China CDC; Shandong First Medical University & Shandong Academy of Medical Sciences; Hubei Provincial Center for Disease Control and Prevention; BGI PathoGenesis Pharmaceutical Technology Co., Ltd"
BetaCoV/Wuhan/WH19008/2019,NMDC60013002-06,NMDC,,Complete,Homo sapiens,2019-12-30,China / Hubei Province / Wuhan City,,2020-01-28,"China CDC; Shandong First Medical University & Shandong Academy of Medical Sciences; Hubei Provincial Center for Disease Control and Prevention; BGI PathoGenesis Pharmaceutical Technology Co., Ltd"
BetaCoV/Wuhan/YS8011/2020,NMDC60013002-07,NMDC,,Complete/2 Ns,Homo sapiens,2020-01-07,China / Hubei Province / Wuhan City,,2020-01-28,"China CDC; Shandong First Medical University & Shandong Academy of Medical Sciences; Hubei Provincial Center for Disease Control and Prevention; BGI PathoGenesis Pharmaceutical Technology Co., Ltd"
BetaCoV/Wuhan/WH19001/2019,NMDC60013002-08,NMDC,,Complete,Homo sapiens,2019-12-30,China / Hubei Province / Wuhan City,,2020-01-28,"China CDC; Shandong First Medical University & Shandong Academy of Medical Sciences; Hubei Provincial Center for Disease Control and Prevention; BGI PathoGenesis Pharmaceutical Technology Co., Ltd"
BetaCoV/Wuhan/WH19004/2020,NMDC60013002-09,NMDC,,Complete,Homo sapiens,2020-01-01,China / Hubei Province / Wuhan City,,2020-01-28,"China CDC; Shandong First Medical University & Shandong Academy of Medical Sciences; Hubei Provincial Center for Disease Control and Prevention; BGI PathoGenesis Pharmaceutical Technology Co., Ltd"
BetaCoV/Wuhan/WH19005/2019,NMDC60013002-10,NMDC,,Complete,Homo sapiens,2019-12-30,China / Hubei Province / Wuhan City,,2020-01-28,"China CDC; Shandong First Medical University & Shandong Academy of Medical Sciences; Hubei Provincial Center for Disease Control and Prevention; BGI PathoGenesis Pharmaceutical Technology Co., Ltd"
BetaCoV/Germany/BavPat1/2020,EPI_ISL_406862,GISAID,,Complete,Homo sapiens,2020-01-28,Germany / Bavaria / Munich,"Charité Universitätsmedizin Berlin, Institute of Virology; Institut für Mikrobiologie der Bundeswehr, Munich",2020-01-31,"Charité Universitätsmedizin Berlin, Institute of Virology"
BetaCoV/Wuhan/WH-01/2019,CNA0007332,CNGBdb,"LR757998, EPI_ISL_406798, NMDC60013002-01",Complete,Homo sapiens,2019-12-26,China / Hubei Province / Wuhan City,General Hospital of Central Theater Command of People's Liberation Army of China,2020-01-30,"BGI PathoGenesis Pharmaceutical Technology Co., Ltd; China CDC; Shandong First Medical University & Shandong Academy of Medical Sciences; Hubei Provincial Center for Disease Control and Prevention"
BetaCoV/Wuhan/WH-02/2019,CNA0007333,CNGBdb,"LR757997, EPI_ISL_406799, NMDC60013002-02",Partial/scaffold level,Homo sapiens,2019-12-31,China / Hubei Province / Wuhan City,General Hospital of Central Theater Command of People's Liberation Army of China,2020-01-30,"BGI PathoGenesis Pharmaceutical Technology Co., Ltd; China CDC; Shandong First Medical University & Shandong Academy of Medical Sciences; Hubei Provincial Center for Disease Control and Prevention"
BetaCoV/Wuhan/WH-03/2019,CNA0007334,CNGBdb,"LR757996, EPI_ISL_406800, NMDC60013002-03",Complete,Homo sapiens,2020-01-01,China / Hubei Province / Wuhan City,General Hospital of Central Theater Command of People's Liberation Army of China,2020-01-30,"BGI PathoGenesis Pharmaceutical Technology Co., Ltd; China CDC; Shandong First Medical University & Shandong Academy of Medical Sciences; Hubei Provincial Center for Disease Control and Prevention"
BetaCoV/Wuhan/WH-04/2019,CNA0007335,CNGBdb,"LR757995, EPI_ISL_406801, NMDC60013002-04",Complete,Homo sapiens,2020-01-05,China / Hubei Province / Wuhan City,General Hospital of Central Theater Command of People's Liberation Army of China,2020-01-30,"BGI PathoGenesis Pharmaceutical Technology Co., Ltd; China CDC; Shandong First Medical University & Shandong Academy of Medical Sciences; Hubei Provincial Center for Disease Control and Prevention"
BetaCoV/Australia/VIC01/2020,MT007544,GenBank,EPI_ISL_406844,Complete,Homo sapiens,2020-01-25,Australia / Victoria / Clayton,Monash Medical Centre,2020-01-31,"Department of Microbiology and Immunology, The University of Melbourne at The Peter Doherty Institute for Infection and Immunity"
WIV02,GWHABKK00000000,Genome Warehouse,"EPI_ISL_402127, MN996527",Complete,Homo sapiens,2019-12-30,China/ Hubei / Wuhan,Wuhan Jinyintan Hospital,2020-01-18,"CAS Key Laboratory of Special Pathogens and Biosafety and Center for Emerging Infectious Diseases, Wuhan Institute of Virology, Chinese Academy of Sciences"
WIV04,GWHABKL00000000,Genome Warehouse,"EPI_ISL_402124, MN996528",Complete,Homo sapiens,2019-12-30,China / Hubei / Wuhan,Wuhan Jinyintan Hospital,2020-01-11,"CAS Key Laboratory of Special Pathogens and Biosafety and Center for Emerging Infectious Diseases, Wuhan Institute of Virology, Chinese Academy of Sciences"
WIV05,GWHABKM00000000,Genome Warehouse,"EPI_ISL_402128, MN996529",Complete,Homo sapiens,2019-12-30,China / Hubei / Wuhan,Wuhan Jinyintan Hospital,2020-01-18,"CAS Key Laboratory of Special Pathogens and Biosafety and Center for Emerging Infectious Diseases, Wuhan Institute of Virology, Chinese Academy of Sciences"
WIV06,GWHABKN00000000,Genome Warehouse,"EPI_ISL_402129, MN996530",Complete,Homo sapiens,2019-12-30,China / Hubei / Wuhan,Wuhan Jinyintan Hospital,2020-01-18,"CAS Key Laboratory of Special Pathogens and Biosafety and Center for Emerging Infectious Diseases, Wuhan Institute of Virology, Chinese Academy of Sciences"
WIV07,GWHABKO00000000,Genome Warehouse,"EPI_ISL_402130, MN996531",Complete,Homo sapiens,2019-12-30,China / Hubei / Wuhan,Wuhan Jinyintan Hospital,2020-01-18,"CAS Key Laboratory of Special Pathogens and Biosafety and Center for Emerging Infectious Diseases, Wuhan Institute of Virology, Chinese Academy of Sciences"
TG13,GWHABKP00000000,Genome Warehouse,"EPI_ISL_402131, MN996532",Complete,Rhinolophus affinis,2013-07-24,China / Yunnan / Pu'er,Wuhan Institute of Virology,2020-01-24,"CAS Key Laboratory of Special Pathogens and Biosafety and Center for Emerging Infectious Diseases, Wuhan Institute of Virology, Chinese Academy of Sciences"
BetaCoV/Guangdong/20SF174/2020,EPI_ISL_406531,GISAID,,Complete,Homo sapiens,2020-01-22,China / Guangdong Province,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Institute of Public Health,2020-01-29,Guangdong Provincial Center for Diseases Control and Prevention
BetaCoV/Guangzhou/20SF206/2020,EPI_ISL_406533,GISAID,,Complete,Homo sapiens,2020-01-22,China / Guangdong Province / Guangzhou City,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Institute of Public Health,2020-01-29,Guangdong Provincial Center for Diseases Control and Prevention
BetaCoV/Foshan/20SF207/2020,EPI_ISL_406534,GISAID,,Complete,Homo sapiens,2020-01-22,China / Guangdong Province,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Institute of Public Health,2020-01-29,Guangdong Provincial Center for Diseases Control and Prevention
BetaCoV/Foshan/20SF210/2020,EPI_ISL_406535,GISAID,,Complete,Homo sapiens,2020-01-22,China / Guangdong Province,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Institute of Public Health,2020-01-29,Guangdong Provincial Center for Diseases Control and Prevention
BetaCoV/Foshan/20SF211/2020,EPI_ISL_406536,GISAID,,Complete,Homo sapiens,2020-01-22,China / Guangdong Province,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Institute of Public Health,2020-01-29,Guangdong Provincial Center for Diseases Control and Prevention
BetaCoV/Guangdong/20SF201/2020,EPI_ISL_406538,GISAID,,Complete,Homo sapiens,2020-01-23,China / Guangdong Province,Guangdong Provincial Center for Diseases Control and Prevention;Guangdong Provincial Institute of Public Health,2020-01-29,Guangdong Provincial Center for Diseases Control and Prevention
BetaCoV/Shenzhen/SZTH-001/2020,EPI_ISL_406592,GISAID,,Complete/high number of SNVs (28),Homo sapiens,2020-01-13,China/ Guangdong Province / Shenzhen City,Shenzhen Third People's Hospital,2020-01-29,"Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital"
BetaCoV/Shenzhen/SZTH-003/2020,EPI_ISL_406594,GISAID,,Complete,Homo sapiens,2020-01-16,China/ Guangdong Province / Shenzhen City,"Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital",2020-01-29,"Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital"
BetaCoV/Shenzhen/SZTH-004/2020,EPI_ISL_406595,GISAID,,Complete/1 degenerate base,Homo sapiens,2020-01-16,China/ Guangdong Province / Shenzhen City,"Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital",2020-01-29,"Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital"
BetaCoV/Shenzhen/SZTH-002/2020,EPI_ISL_406593,GISAID,,Complete,Homo sapiens,2020-01-13,China/ Guangdong Province / Shenzhen City,"Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital",2020-01-29,"Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital"
BetaCoV/France/IDF0373/2020,EPI_ISL_406597,GISAID,,Complete,Homo sapiens,2020-01-23,France / Ile-de-France / Paris,"Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris",2020-01-29,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"
BetaCoV/France/IDF0372/2020,EPI_ISL_406596,GISAID,,Complete,Homo sapiens,2020-01-23,France / Ile-de-France / Paris,"Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris",2020-01-29,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"
2019-nCoV_HKU-SZ-001_2020,MN938387,GenBank,EPI_ISL_412043,Partial/gene level,Homo sapiens,2020-01,China / Guangdong / Shenzhen,University of Hong Kong-Shenzhen Hospital,2020-01-14,University of Hong Kong-Shenzhen Hospital
2019-nCoV_HKU-SZ-001_2020,MN938385,GenBank,EPI_ISL_412041,Partial/gene level,Homo sapiens,2020-01,China / Guangdong / Shenzhen,University of Hong Kong-Shenzhen Hospital,2020-01-14,University of Hong Kong-Shenzhen Hospital
2019-nCoV_HKU-SZ-002b_2020,MN938388,GenBank,EPI_ISL_412044,Partial/gene level,Homo sapiens,2020-01,China / Guangdong / Shenzhen,University of Hong Kong-Shenzhen Hospital,2020-01-14,University of Hong Kong-Shenzhen Hospital
2019-nCoV_HKU-SZ-004_2020,MN938389,GenBank,EPI_ISL_412045,Partial/gene level,Homo sapiens,2020-01,China / Guangdong / Shenzhen,University of Hong Kong-Shenzhen Hospital,2020-01-14,University of Hong Kong-Shenzhen Hospital
